sample,sample1,sample_most_similar_index,sample1_most_similar_index
"Whoever harbors or conceals any person who he knows, or has reasonable grounds to believe or suspect, has committed, or is about to commit, an offense under this section, shall be fined under this title or imprisoned not more than ten years, or both.","Anyone who knowingly hides or protects someone they believe has committed, or is about to commit, a crime under this law will face a fine, up to ten years in prison, or both.
","[np.int64(480), np.int64(588), np.int64(111), np.int64(479), np.int64(752)]","[np.int64(588), np.int64(480), np.int64(277), np.int64(703), np.int64(169)]"
"Any property, real or personal, used or intended to be used to commit or to facilitate the commission of any violation of this chapter.","Any asset, whether real estate or personal belongings, used in or planned for use in breaking the rules of this chapter.
","[np.int64(48), np.int64(132), np.int64(762), np.int64(577), np.int64(202)]","[np.int64(762), np.int64(760), np.int64(763), np.int64(577), np.int64(471)]"
"participates in a strike, or asserts the right to strike, against the Government of the United States or the government of the District of Columbia; or","Engages in, or advocates for, a strike against the U.S. or D.C. government; or
","[np.int64(745), np.int64(99), np.int64(763), np.int64(749), np.int64(52)]","[np.int64(745), np.int64(99), np.int64(167), np.int64(100), np.int64(98)]"
"Whoever, being an officer or other person charged by any Act of Congress with the safe-keeping of the public moneys, loans, uses, or converts to his own use, or deposits in any bank, including any branch","Any government official responsible for safeguarding public funds who misappropriates those funds, uses them for personal gain, or deposits them in a bank (including any branch) is in violation.
","[np.int64(457), np.int64(456), np.int64(459), np.int64(461), np.int64(458)]","[np.int64(456), np.int64(457), np.int64(458), np.int64(459), np.int64(461)]"
"evidence has been presented by the foreign government that indicates that had the offenses been committed in the United States, they would constitute crimes of violence as defined under section 16 of this title","A foreign government has provided evidence showing that the offenses, if committed in the U.S., would be classified as violent crimes under Section 16 of this law.
","[np.int64(214), np.int64(307), np.int64(213), np.int64(563), np.int64(693)]","[np.int64(307), np.int64(563), np.int64(214), np.int64(306), np.int64(213)]"
"forcibly thrusts any part of himself or any object within or upon that portion of any building or premises located within the United States, which portion is used or occupied for official business or for diplomatic, consular, or residential purposes","Illegally enters or forces entry into a U.S. building or property used for official, diplomatic, consular, or residential purposes, using any part of their body or an object.
","[np.int64(714), np.int64(167), np.int64(697), np.int64(482), np.int64(696)]","[np.int64(714), np.int64(167), np.int64(482), np.int64(645), np.int64(567)]"
Training conducted during regular employment.—An officer or employee of the Bureau of Prisons who completes a training course required under paragraph (1) shall do so during the course of that officer or employees regular employment,"Bureau of Prisons staff must complete mandatory training (as specified in paragraph 1) during their regular work hours.
","[np.int64(405), np.int64(448), np.int64(397), np.int64(396), np.int64(420)]","[np.int64(405), np.int64(448), np.int64(397), np.int64(16), np.int64(396)]"
"the court finds reasonable cause to believe that providing immediate notification of the execution of the warrant may have an adverse result (as defined in section 2705, except if the adverse results consist only of unduly delaying a trial);","The court believes that immediately notifying anyone about the warrant's execution could have negative consequences (as specified in section 2705), unless the only negative consequence is a trial delay.
","[np.int64(154), np.int64(201), np.int64(200), np.int64(150), np.int64(198)]","[np.int64(154), np.int64(201), np.int64(200), np.int64(198), np.int64(202)]"
"The Secretaries of the Army, Navy, and Air Force and the Federal Security Administrator shall take such steps as they deem necessary to suppress and prevent such violations thereof, and shall accept the cooperation of the authorities of States and their counties, districts, and other political subdivisions in carrying out the purpose of this section.","The Army, Navy, and Air Force Secretaries, along with the Federal Security Administrator, must take all necessary action to stop and prevent violations.  They should also work with state and local governments to achieve this goal.
","[np.int64(646), np.int64(647), np.int64(649), np.int64(484), np.int64(105)]","[np.int64(647), np.int64(646), np.int64(531), np.int64(248), np.int64(58)]"
"Whoever, having taken charge of any mail, voluntarily quits or deserts the same before he has delivered it into the post office at the termination of the route, or to some known mail carrier, messenger, agent, or other employee in the Postal Service authorized to receive the same","Postal workers who abandon their mail before reaching the post office or a designated Postal Service employee are in violation.
","[np.int64(707), np.int64(708), np.int64(709), np.int64(706), np.int64(710)]","[np.int64(707), np.int64(708), np.int64(710), np.int64(706), np.int64(709)]"
