sample,sample1,sample_most_similar_index,sample1_most_similar_index
"Whoever harbors or conceals any person who he knows, or has reasonable grounds to believe or suspect, has committed, or is about to commit, an offense under this section, shall be fined under this title or imprisoned not more than ten years, or both.","Anyone who knowingly hides or protects someone they believe has committed, or is about to commit, a crime under this law, faces a fine, up to ten years in prison, or both.
","[np.int64(1329), np.int64(227), np.int64(1511), np.int64(911), np.int64(767)]","[np.int64(941), np.int64(1329), np.int64(227), np.int64(1121), np.int64(1511)]"
"Any property, real or personal, used or intended to be used to commit or to facilitate the commission of any violation of this chapter.","Any property, whether real estate or possessions, utilized in or planned for use in breaking the rules of this chapter.
","[np.int64(1121), np.int64(1132), np.int64(1972), np.int64(1233), np.int64(1495)]","[np.int64(1483), np.int64(299), np.int64(1121), np.int64(1495), np.int64(1132)]"
"participates in a strike, or asserts the right to strike, against the Government of the United States or the government of the District of Columbia; or","Engages in, or advocates for, a strike against the U.S. or D.C. government; or
","[np.int64(1468), np.int64(1365), np.int64(1095), np.int64(1919), np.int64(189)]","[np.int64(1468), np.int64(1019), np.int64(1365), np.int64(1358), np.int64(1095)]"
"Whoever, being an officer or other person charged by any Act of Congress with the safe-keeping of the public moneys, loans, uses, or converts to his own use, or deposits in any bank, including any branch","Any government official responsible for safeguarding public funds who misappropriates those funds, either by using them personally or depositing them in a bank (including any branch), is liable.
","[np.int64(692), np.int64(206), np.int64(370), np.int64(364), np.int64(1064)]","[np.int64(369), np.int64(368), np.int64(361), np.int64(691), np.int64(364)]"
"evidence has been presented by the foreign government that indicates that had the offenses been committed in the United States, they would constitute crimes of violence as defined under section 16 of this title","A foreign government has provided evidence showing that the offenses, if committed in the U.S., would be classified as crimes of violence under the law (Section 16 of this title).
","[np.int64(585), np.int64(1365), np.int64(1441), np.int64(1371), np.int64(1442)]","[np.int64(585), np.int64(1365), np.int64(1095), np.int64(1371), np.int64(453)]"
"forcibly thrusts any part of himself or any object within or upon that portion of any building or premises located within the United States, which portion is used or occupied for official business or for diplomatic, consular, or residential purposes","Forcibly enters or intrudes upon any U.S. building or premises used for official, diplomatic, consular, or residential purposes.
","[np.int64(1019), np.int64(1360), np.int64(1371), np.int64(1018), np.int64(58)]","[np.int64(1019), np.int64(1358), np.int64(1360), np.int64(1371), np.int64(58)]"
Training conducted during regular employment.—An officer or employee of the Bureau of Prisons who completes a training course required under paragraph (1) shall do so during the course of that officer or employees regular employment,"Bureau of Prisons employees must complete mandatory training (as specified in paragraph 1) during their regular work hours.
","[np.int64(2054), np.int64(2079), np.int64(2043), np.int64(2135), np.int64(1946)]","[np.int64(1823), np.int64(1868), np.int64(2054), np.int64(2142), np.int64(2112)]"
"the court finds reasonable cause to believe that providing immediate notification of the execution of the warrant may have an adverse result (as defined in section 2705, except if the adverse results consist only of unduly delaying a trial);","The court believes that immediately notifying anyone of the warrant's execution could have negative consequences (as specified in Section 2705), unless the only negative consequence is a trial delay.
","[np.int64(1682), np.int64(1525), np.int64(1629), np.int64(1628), np.int64(1652)]","[np.int64(1682), np.int64(1525), np.int64(1868), np.int64(1629), np.int64(1911)]"
"The Secretaries of the Army, Navy, and Air Force and the Federal Security Administrator shall take such steps as they deem necessary to suppress and prevent such violations thereof, and shall accept the cooperation of the authorities of States and their counties, districts, and other political subdivisions in carrying out the purpose of this section.","The Army, Navy, and Air Force Secretaries, along with the Federal Security Administrator, will take necessary action to stop and prevent violations.  They will also work with state and local governments to achieve this goal.
","[np.int64(1017), np.int64(771), np.int64(867), np.int64(2081), np.int64(1026)]","[np.int64(867), np.int64(1017), np.int64(531), np.int64(74), np.int64(2044)]"
"Whoever, having taken charge of any mail, voluntarily quits or deserts the same before he has delivered it into the post office at the termination of the route, or to some known mail carrier, messenger, agent, or other employee in the Postal Service authorized to receive the same","Any mail carrier who abandons their mail before delivering it to the post office at their route's end, or to an authorized postal employee, is in violation.
","[np.int64(439), np.int64(979), np.int64(980), np.int64(976), np.int64(986)]","[np.int64(439), np.int64(980), np.int64(976), np.int64(979), np.int64(973)]"
