sample,sample1,sample_most_similar_index,sample1_most_similar_index
"Whoever harbors or conceals any person who he knows, or has reasonable grounds to believe or suspect, has committed, or is about to commit, an offense under this section, shall be fined under this title or imprisoned not more than ten years, or both.","Anyone who hides or protects someone they know, or have reason to believe, has committed or will commit a crime under this law, faces a fine, up to ten years in prison, or both.
","[np.int64(480), np.int64(588), np.int64(15), np.int64(471), np.int64(168)]","[np.int64(471), np.int64(15), np.int64(489), np.int64(45), np.int64(588)]"
"Any property, real or personal, used or intended to be used to commit or to facilitate the commission of any violation of this chapter.","Any property, whether real estate or possessions, used in or planned for use in breaking the law outlined in this chapter.
","[np.int64(471), np.int64(168), np.int64(489), np.int64(762), np.int64(135)]","[np.int64(471), np.int64(762), np.int64(570), np.int64(135), np.int64(575)]"
"participates in a strike, or asserts the right to strike, against the Government of the United States or the government of the District of Columbia; or","Engages in, or advocates for, a strike against the U.S. federal government or the District of Columbia government; or
","[np.int64(763), np.int64(264), np.int64(682), np.int64(528), np.int64(762)]","[np.int64(763), np.int64(762), np.int64(4), np.int64(5), np.int64(29)]"
"Whoever, being an officer or other person charged by any Act of Congress with the safe-keeping of the public moneys, loans, uses, or converts to his own use, or deposits in any bank, including any branch","Any government official responsible for safeguarding public funds who misappropriates those funds, either by using them for personal gain or depositing them in a bank (including any branch), is liable.
","[np.int64(456), np.int64(460), np.int64(461), np.int64(457), np.int64(742)]","[np.int64(456), np.int64(458), np.int64(457), np.int64(459), np.int64(461)]"
"evidence has been presented by the foreign government that indicates that had the offenses been committed in the United States, they would constitute crimes of violence as defined under section 16 of this title","A foreign government has provided evidence showing that the offenses, if committed in the U.S., would be classified as violent crimes under Section 16 of this law.
","[np.int64(116), np.int64(66), np.int64(233), np.int64(115), np.int64(232)]","[np.int64(762), np.int64(682), np.int64(316), np.int64(693), np.int64(116)]"
"forcibly thrusts any part of himself or any object within or upon that portion of any building or premises located within the United States, which portion is used or occupied for official business or for diplomatic, consular, or residential purposes","Forcibly enters or places an object inside or on any part of a U.S. building or property used for official, diplomatic, consular, or residential purposes.
","[np.int64(697), np.int64(696), np.int64(71), np.int64(714), np.int64(482)]","[np.int64(697), np.int64(482), np.int64(714), np.int64(71), np.int64(747)]"
Training conducted during regular employment.—An officer or employee of the Bureau of Prisons who completes a training course required under paragraph (1) shall do so during the course of that officer or employees regular employment,"Bureau of Prisons staff must complete mandatory training (as specified in paragraph 1) during their regular work hours.
","[np.int64(448), np.int64(405), np.int64(420), np.int64(264), np.int64(325)]","[np.int64(448), np.int64(405), np.int64(397), np.int64(420), np.int64(398)]"
"the court finds reasonable cause to believe that providing immediate notification of the execution of the warrant may have an adverse result (as defined in section 2705, except if the adverse results consist only of unduly delaying a trial);","The court believes that giving immediate notice of the warrant's execution could have negative consequences (as defined in Section 2705), unless the only negative consequence is a trial delay.
","[np.int64(154), np.int64(223), np.int64(200), np.int64(214), np.int64(224)]","[np.int64(154), np.int64(223), np.int64(200), np.int64(224), np.int64(214)]"
"The Secretaries of the Army, Navy, and Air Force and the Federal Security Administrator shall take such steps as they deem necessary to suppress and prevent such violations thereof, and shall accept the cooperation of the authorities of States and their counties, districts, and other political subdivisions in carrying out the purpose of this section.","The Army, Navy, and Air Force Secretaries, along with the Federal Security Administrator, will take necessary action to stop and prevent violations.  They will also collaborate with state and local governments to achieve this goal.
","[np.int64(682), np.int64(484), np.int64(264), np.int64(647), np.int64(483)]","[np.int64(682), np.int64(647), np.int64(69), np.int64(635), np.int64(482)]"
"Whoever, having taken charge of any mail, voluntarily quits or deserts the same before he has delivered it into the post office at the termination of the route, or to some known mail carrier, messenger, agent, or other employee in the Postal Service authorized to receive the same","Any mail carrier who abandons their mailbag before reaching the post office or handing it off to an authorized postal employee is in violation.
","[np.int64(707), np.int64(708), np.int64(709), np.int64(706), np.int64(710)]","[np.int64(709), np.int64(707), np.int64(708), np.int64(710), np.int64(711)]"
